Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Nada,0.16,0.857,0.27,14,,,,,
Varios días,0.585,0.497,0.537,145,,,,,
Más de la mitad de los días,0.375,0.266,0.311,124,,,,,
Casi todos los días,0.718,0.706,0.711,180,,,,,
GLOBAL,0.459,0.581,0.457,463,0.527,0.581,0.78,0.681,463.0
