Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,277,96,28,62,318,94,18,33,236,87,37,103
Varios días,244,57,129,33,187,49,134,93,255,38,133,37
Más de la mitad de los días,287,76,74,26,290,72,71,30,319,61,52,31
Casi todos los días,290,62,60,51,315,64,56,28,317,76,40,30
