Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,379,93,48,61,455,66,35,25,327,78,64,112
Varios días,281,86,154,60,210,83,136,152,267,90,131,93
Más de la mitad de los días,372,86,89,34,355,92,74,60,414,69,80,18
Casi todos los días,352,94,68,67,418,64,60,39,418,80,42,41
