Sintoma,Precision,Recall,F1,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Problemas de sueño,0.404,0.436,0.402,0.432,0.436,0.685,0.769,581
Cansancio,0.459,0.459,0.457,0.525,0.459,0.741,0.664,581
Cambios en el apetito,0.418,0.459,0.417,0.482,0.459,0.714,0.724,581
