Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,449,57,44,31,438,70,31,42,344,83,53,101,352,107,54,68,254,117,60,150,179,91,59,252
Varios días,154,99,105,223,158,103,120,200,274,89,102,116,207,115,143,116,251,87,146,97,370,62,106,43
Más de la mitad de los días,456,33,82,10,389,54,107,31,450,35,77,19,450,21,102,8,478,33,64,6,494,43,28,16
Casi todos los días,425,70,28,58,470,61,30,20,406,62,37,76,399,92,36,54,463,60,27,31,461,43,46,31
