Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Nada,0.07,0.833,0.13,6,,,,,
Varios días,0.422,0.694,0.525,180,,,,,
Más de la mitad de los días,0.325,0.082,0.131,158,,,,,
Casi todos los días,0.925,0.679,0.783,237,,,,,
GLOBAL,0.436,0.572,0.392,581,0.523,0.572,0.727,0.879,581.0
