Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,429,77,26,49,432,76,32,41,355,72,54,100,350,109,62,60,284,87,84,126,203,67,98,213
Varios días,185,68,162,166,181,80,145,175,279,84,108,110,224,98,169,90,244,94,147,96,348,84,105,44
Más de la mitad de los días,412,77,71,21,356,87,81,57,429,56,74,22,396,75,82,28,441,70,47,23,483,54,24,20
Casi todos los días,428,67,30,56,487,44,29,21,403,65,41,72,417,74,43,47,461,62,35,23,445,59,37,40
