Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,488,18,60,15,484,24,56,17,381,46,67,87,423,36,90,32,285,86,90,120,152,118,42,269
Varios días,100,153,51,277,92,169,49,271,224,139,71,147,122,200,68,191,169,169,93,150,368,64,113,36
Más de la mitad de los días,458,31,83,9,404,39,97,41,459,26,85,11,439,32,92,18,492,19,69,1,520,17,39,5
Casi todos los días,457,38,46,40,521,10,40,10,408,60,48,65,454,37,55,35,503,20,42,16,469,35,40,37
