Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Nada,0.286,0.667,0.4,6,,,,,
Varios días,0.49,0.939,0.644,180,,,,,
Más de la mitad de los días,0.481,0.165,0.245,158,,,,,
Casi todos los días,0.929,0.658,0.77,237,,,,,
GLOBAL,0.546,0.607,0.515,581,0.611,0.607,0.763,0.782,581.0
