Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,388,84,46,63,429,92,31,29,324,81,69,107
Varios días,294,73,153,61,230,63,168,120,271,86,149,75
Más de la mitad de los días,354,104,90,33,358,89,70,64,398,85,74,24
Casi todos los días,351,95,67,68,408,74,49,50,417,81,41,42
