train_size,f1_train_mean,f1_valid_mean,f1_train_std,f1_valid_std
39,0.9874708994708994,0.5929753961197195,0.017841357710654968,0.12600332310728388
89,0.9751415873235804,0.730291084501772,0.009454746866453862,0.12159293275360478
140,0.9649720100204056,0.8119409740376435,0.005777901304898951,0.09260031195941552
190,0.9746827150863776,0.7867237806475631,0.0026309769008357785,0.05541381846484274
241,0.9780727888432216,0.8097159596608019,0.005749338595721412,0.04845709430875662
291,0.9831076079805932,0.8324326018736592,0.005675850801358402,0.0413392305741983
342,0.9768905564620196,0.8781936127619943,0.008855196786029322,0.030247536887589497
393,0.9794942016390469,0.8592509539242503,0.005664479852809019,0.03539158641320371
