Nivel,f00,f01,f10,f11,Accuracy,Recall,Precision,F1-score
Normal,42,8,6,48,0.865,0.889,0.857,0.873
Elevado,65,14,11,14,0.76,0.56,0.5,0.528
Alto,82,7,11,4,0.827,0.267,0.364,0.308
Muy alto,92,2,3,7,0.952,0.7,0.778,0.737
