Sintoma,Precision,Recall,F1,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Estado de ánimo,0.449,0.519,0.461,0.485,0.519,0.773,0.63,581
Pérdida de interés,0.421,0.492,0.432,0.466,0.492,0.72,0.66,581
Fracaso,0.484,0.497,0.489,0.515,0.497,0.763,0.606,581
Dificultad para concentrarse,0.388,0.422,0.391,0.394,0.422,0.695,0.69,581
Intranquilidad,0.397,0.421,0.395,0.446,0.421,0.686,0.663,581
Ideación suicida,0.434,0.475,0.444,0.525,0.475,0.75,0.574,581
