train_size,f1_macro_train_cv_mean,f1_macro_train_cv_std,f1_macro_valid_cv_mean,f1_macro_valid_cv_std,loss_train_mean (1-F1),loss_valid_mean (1-F1)
37,0.5356,0.0676,0.3287,0.0279,0.4644,0.6713
120,0.6113,0.0873,0.4402,0.0848,0.3887,0.5598
204,0.6702,0.0778,0.6199,0.0813,0.3298,0.3801
287,0.7207,0.0442,0.6542,0.0911,0.2793,0.3458
371,0.7675,0.0135,0.7004,0.0999,0.2325,0.2996
