train_size,f1_train_mean,f1_train_std,f1_valid_mean,f1_valid_std
39,0.41355319480079206,0.061345444748706346,0.3106684972980053,0.05094300789858428
89,0.5441363492092529,0.049044727798723056,0.3784164152439436,0.03569000714502875
140,0.6411713097329979,0.03160303310429366,0.46975721172760404,0.038000073229624495
190,0.6470591644608265,0.014045920608861973,0.4823392253694432,0.02550791771587003
241,0.6847687441869775,0.027001319027067833,0.5117958619967924,0.05659960647383961
291,0.6958070550270167,0.011529351462548992,0.5475920637331366,0.057512380569058386
342,0.7039516399641986,0.02216538721507443,0.5597006835126279,0.0420629142990034
393,0.7087819063476423,0.009910226865336614,0.5065922383785227,0.021742545232191504
