train_size,acc_train_cv_mean,acc_train_cv_std,acc_valid_cv_mean,acc_valid_cv_std
39,0.6615,0.0441,0.4736,0.0668
89,0.7236,0.0436,0.5163,0.0489
140,0.7629,0.0276,0.5835,0.0485
190,0.7537,0.0158,0.5895,0.026
241,0.7718,0.0136,0.6058,0.0346
291,0.8021,0.0172,0.6281,0.0388
342,0.7784,0.0176,0.6178,0.0416
393,0.7837,0.0102,0.62,0.0259
