train_size,acc_train_cv_mean,acc_train_cv_std,acc_valid_cv_mean,acc_valid_cv_std
29,0.9172,0.0889,0.5054,0.0676
67,0.9164,0.0322,0.6,0.0571
105,0.8895,0.0428,0.6865,0.0335
143,0.8643,0.0315,0.7108,0.0369
181,0.8387,0.0196,0.7297,0.0308
219,0.8493,0.0178,0.7568,0.0392
257,0.8412,0.0158,0.7405,0.0335
296,0.8324,0.0097,0.7595,0.0413
