train_size,f1_train_mean,f1_train_std,f1_valid_mean,f1_valid_std
39,0.8807268458975553,0.059976586050202084,0.4679639591690936,0.04347536520375712
89,0.8489859491803063,0.03565675270060305,0.6103802710853208,0.08335443532954731
140,0.8212079701973263,0.05633301217958343,0.6593896001330538,0.07278362491502173
190,0.818428313854651,0.02902299637984977,0.703247771011327,0.04652347939772844
241,0.821865008419642,0.03039501468918944,0.7251697024945456,0.04272854559492163
291,0.8333314359183219,0.010796929392578,0.7270916652004414,0.045497303359015404
342,0.8260655776733348,0.011300841771245386,0.7567510005277477,0.03317496464481979
393,0.8260523240732383,0.007733214175062086,0.758358820413098,0.0442692792505873
