train_size,f1_macro_train_cv_mean,f1_macro_train_cv_std,f1_macro_valid_cv_mean,f1_macro_valid_cv_std,loss_train_mean (1-F1),loss_valid_mean (1-F1)
37,0.9643,0.0136,0.5918,0.0749,0.0357,0.4082
120,0.902,0.0221,0.7783,0.0291,0.098,0.2217
204,0.9038,0.0092,0.8424,0.0402,0.0962,0.1576
287,0.9047,0.0127,0.8403,0.0288,0.0953,0.1597
371,0.8935,0.0074,0.8546,0.0482,0.1065,0.1454
