Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,478,28,57,18,482,26,57,16,373,54,67,87,411,48,83,39,277,94,87,123,163,107,52,259
Varios días,111,142,68,260,91,170,60,260,223,140,82,136,139,183,86,173,179,159,106,137,359,73,105,44
Más de la mitad de los días,452,37,82,10,397,46,95,43,450,35,84,12,422,49,89,21,485,26,64,6,514,23,37,7
Casi todos los días,452,43,43,43,521,10,40,10,413,55,51,62,456,35,57,33,501,22,44,14,471,33,42,35
