train_size,f1_train_mean,f1_train_std,f1_valid_mean,f1_valid_std
39,0.8473680479793011,0.11094153688333179,0.3728822421472711,0.05073749718262732
89,0.9845614035087721,0.0308771929824561,0.5648761685402125,0.0979583784091711
140,1.0,0.0,0.6152804435608011,0.04890416313842425
190,1.0,0.0,0.6461626400916405,0.04357607940814933
241,1.0,0.0,0.6938829369531765,0.024777452860053232
291,1.0,0.0,0.6910153579128973,0.02848831020122902
342,1.0,0.0,0.7003355273059029,0.009697125465459854
393,1.0,0.0,0.7393686892693856,0.0411905465369517
