train_size,f1_train_mean,f1_valid_mean,f1_train_std,f1_valid_std
39,1.0,0.47115340258153104,0.0,0.08336714609662052
89,1.0,0.6129134059918009,0.0,0.09527838780962171
140,1.0,0.6610063485825812,0.0,0.049212181980290585
190,1.0,0.6808812290232014,0.0,0.03878213741344558
241,1.0,0.7032085084874512,0.0,0.027468260603544993
291,1.0,0.7184390037738246,0.0,0.04578146781481586
342,1.0,0.7140006536355712,0.0,0.023067453098008017
393,1.0,0.7334920425451624,0.0,0.023647843567114746
