train_size,f1_macro_train_cv_mean,f1_macro_train_cv_std,f1_macro_valid_cv_mean,f1_macro_valid_cv_std,loss_train_mean (1-F1),loss_valid_mean (1-F1)
37,,,,,,
120,0.7459,0.0324,0.5481,0.0727,0.2541,0.4519
204,0.8614,0.0212,0.6992,0.0705,0.1386,0.3008
287,0.8859,0.0117,0.7371,0.0845,0.1141,0.2629
371,0.8727,0.0109,0.7428,0.0682,0.1273,0.2572
