Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Normal,0.847,0.924,0.884,66.0,,,,,
Elevado,0.591,0.542,0.565,24.0,,,,,
Alto,0.9,0.75,0.818,12.0,,,,,
Muy alto,0.0,0.0,0.0,2.0,,,,,
GLOBAL,0.585,0.554,0.567,,0.798,0.554,0.911,1.422,104.0
