Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,429,43,69,40,516,5,55,5,338,67,74,102
Varios días,171,196,67,147,126,167,44,244,182,175,70,154
Más de la mitad de los días,442,16,115,8,397,50,94,40,458,25,94,4
Casi todos los días,383,63,67,68,447,35,64,35,468,30,59,24
