Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Nada,0.333,0.167,0.222,18,,,,,
Varios días,0.457,0.935,0.614,184,,,,,
Más de la mitad de los días,0.469,0.142,0.218,162,,,,,
Casi todos los días,0.837,0.567,0.676,217,,,,,
GLOBAL,0.524,0.453,0.433,581,0.552,0.453,0.773,0.675,581.0
