Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Nada,0.069,1.0,0.129,6,,,,,
Varios días,0.629,0.461,0.532,180,,,,,
Más de la mitad de los días,0.569,0.392,0.464,158,,,,,
Casi todos los días,0.802,0.857,0.829,237,,,,,
GLOBAL,0.517,0.678,0.489,581,0.609,0.678,0.737,0.788,581.0
