Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,395,111,21,54,395,113,17,56,325,102,46,108,316,143,47,75,255,116,68,142,205,65,87,224
Varios días,208,45,206,122,217,44,204,116,302,61,138,80,271,51,199,60,286,52,180,63,363,69,106,43
Más de la mitad de los días,401,88,60,32,377,66,88,50,414,71,73,23,388,83,80,30,425,86,53,17,462,75,28,16
Casi todos los días,422,73,30,56,422,109,23,27,403,65,42,71,403,88,39,51,444,79,32,26,447,57,45,32
