Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,427,45,72,37,512,9,52,8,329,76,77,99
Varios días,178,189,83,131,131,162,49,239,195,162,87,137
Más de la mitad de los días,434,24,112,11,395,52,87,47,454,29,90,8
Casi todos los días,368,78,69,66,451,31,66,33,458,40,53,30
