Sintoma,Precision,Recall,F1,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Problemas de sueño,0.408,0.382,0.373,0.422,0.382,0.673,0.683,581
Cansancio,0.514,0.412,0.427,0.563,0.412,0.749,0.576,581
Cambios en el apetito,0.417,0.404,0.4,0.472,0.404,0.692,0.652,581
