Sintoma,Precision,Recall,F1,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Problemas de sueño,0.388,0.414,0.392,0.392,0.414,0.673,0.675,581
Cansancio,0.425,0.46,0.428,0.456,0.46,0.734,0.586,581
Cambios en el apetito,0.411,0.435,0.415,0.442,0.435,0.709,0.635,581
