Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,384,88,43,66,433,88,34,26,309,96,67,109
Varios días,292,75,151,63,222,71,160,128,279,78,142,82
Más de la mitad de los días,361,97,91,32,368,79,74,60,408,75,75,23
Casi todos los días,353,93,68,67,404,78,48,51,423,75,40,43
