train_size,f1_macro_train_cv_mean,f1_macro_train_cv_std,f1_macro_valid_cv_mean,f1_macro_valid_cv_std,loss_train_mean (1-F1),loss_valid_mean (1-F1)
37,0.1106,0.0096,0.0982,0.0041,0.8894,0.9018
120,0.756,0.0497,0.4957,0.0933,0.244,0.5043
204,0.8499,0.015,0.6092,0.0844,0.1501,0.3908
287,0.8871,0.0124,0.6704,0.0776,0.1129,0.3296
371,0.899,0.0138,0.7218,0.065,0.101,0.2782
