Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,488,18,65,10,499,9,65,8,380,47,71,83,425,34,96,26,281,90,85,125,139,131,36,275
Varios días,93,160,43,285,41,220,21,299,209,154,64,154,105,217,63,196,168,170,83,160,374,58,119,30
Más de la mitad de los días,463,26,87,5,420,23,121,17,475,10,90,6,446,25,97,13,505,6,70,0,528,9,41,3
Casi todos los días,457,38,47,39,528,3,48,2,411,57,43,70,453,38,58,32,506,17,45,13,464,40,42,35
