iter	TotalF1	MultiClass
156	0.9887050072	0.2448763281
157	0.9899324193	0.2435063274
158	0.9899324193	0.2420692644
159	0.9899324193	0.2407823152
160	0.9899324193	0.239158517
161	0.9899324193	0.2376915081
162	0.9899324193	0.2359864771
163	0.9899324193	0.234452167
164	0.9899324193	0.2329255721
165	0.9899324193	0.2317171834
166	0.9899324193	0.2301096886
167	0.9899324193	0.2286454467
168	0.9911595961	0.2274703202
169	0.9911595961	0.2262230154
170	0.9911595961	0.2249965102
171	0.9923866058	0.223746249
172	0.9911595961	0.2224375414
173	0.9911595961	0.2209374432
174	0.9911595961	0.2198714487
175	0.9911595961	0.2185844194
176	0.992386491	0.2174922923
177	0.9924789234	0.2163285258
178	0.9899324193	0.2151099607
179	0.9899324193	0.2139038394
180	0.9899324193	0.21273341
181	0.9937024214	0.2116907271
182	0.9937023585	0.2105526192
183	0.9924789234	0.2095333461
184	0.9937023585	0.2085211886
185	0.9949256483	0.2074438157
186	0.9949256483	0.206265655
187	0.996148822	0.2051851306
188	0.9949256483	0.2041401721
189	0.9949256483	0.2030841982
190	0.996148822	0.2021771638
191	0.9949256483	0.2010809881
192	0.9949256483	0.1999830252
193	0.9949256483	0.199131398
194	0.9949256483	0.1981823515
195	0.9949256483	0.1972510213
196	0.9962414475	0.1960094349
197	0.9949256483	0.194981945
198	0.9962414475	0.1940904483
199	0.9974646855	0.1928257472
200	0.9962414475	0.1918451525
201	0.9974646855	0.1908391982
202	0.9974646855	0.1898207115
203	0.9974646855	0.1887876724
204	0.9962414475	0.1878471309
205	0.9962414475	0.1869164525
206	0.9962414475	0.185960494
207	0.9974646855	0.1848601741
208	0.9974646855	0.1838942267
209	0.9974646855	0.183130076
210	0.9974646855	0.182348836
211	0.9974646855	0.181604006
212	0.9986841963	0.1806753536
213	0.9986841963	0.1798353801
214	0.9974646855	0.1787972161
215	0.9974646855	0.1779397824
216	0.9974646855	0.1770358098
217	0.9974646855	0.1761266233
218	0.9974646855	0.1752434589
219	0.9974646855	0.1746051891
220	0.9974646855	0.1737493654
221	0.9974646855	0.1727939119
222	0.9986841963	0.1719007196
223	0.9986841963	0.1710707108
224	0.9986841963	0.170336856
225	0.9986841963	0.1696023617
226	0.9986841963	0.168660986
227	0.9986841963	0.1677408547
228	0.9986841963	0.166920737
229	0.9986841963	0.1661314192
230	0.9986841963	0.1653670094
231	0.9986841963	0.1647239779
232	0.9986841963	0.1639202891
233	0.9986841963	0.1631819156
234	0.9986841963	0.1624365855
235	0.9986841963	0.1617601079
236	0.9986841963	0.1611963448
