train_size,acc_train_cv_mean,acc_train_cv_std,acc_valid_cv_mean,acc_valid_cv_std
24,0.375,0.0417,0.55,0.1844
43,0.719,0.0642,0.6972,0.1602
63,0.7,0.0723,0.7,0.0723
82,0.6735,0.116,0.6735,0.116
102,0.7057,0.0892,0.7057,0.0892
122,0.7463,0.0697,0.7463,0.0697
141,0.7877,0.0478,0.7877,0.0478
161,0.7205,0.0397,0.7205,0.0397
181,0.735,0.0262,0.735,0.0262
200,0.745,0.0696,0.745,0.0696
220,0.7409,0.0232,0.7409,0.0232
240,0.7625,0.0553,0.7625,0.0553
