Nivel,Estado de ánimo_f00,Estado de ánimo_f01,Estado de ánimo_f10,Estado de ánimo_f11,Pérdida de interés_f00,Pérdida de interés_f01,Pérdida de interés_f10,Pérdida de interés_f11,Fracaso / inutilidad_f00,Fracaso / inutilidad_f01,Fracaso / inutilidad_f10,Fracaso / inutilidad_f11,Dificultad para concentrarse_f00,Dificultad para concentrarse_f01,Dificultad para concentrarse_f10,Dificultad para concentrarse_f11,Intranquilidad / agitación_f00,Intranquilidad / agitación_f01,Intranquilidad / agitación_f10,Intranquilidad / agitación_f11,Ideación suicida_f00,Ideación suicida_f01,Ideación suicida_f10,Ideación suicida_f11
Nada,408,98,23,52,399,109,28,45,358,69,58,96,333,126,48,74,262,109,72,138,208,62,97,214
Varios días,202,51,197,131,196,65,189,131,282,81,114,104,257,65,185,74,279,59,157,86,343,89,93,56
Más de la mitad de los días,378,111,64,28,360,83,81,57,420,65,71,25,394,77,71,39,426,85,44,26,481,56,26,18
Casi todos los días,434,61,37,49,463,68,27,23,396,72,44,69,412,79,43,47,469,54,34,24,449,55,46,31
