Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,419,53,72,37,509,12,50,10,334,71,80,96
Varios días,200,167,94,120,141,152,61,227,204,153,85,139
Más de la mitad de los días,417,41,105,18,391,56,83,51,447,36,89,9
Casi todos los días,360,86,76,59,444,38,64,35,452,46,52,31
