train_size,f1_macro_train_cv_mean,f1_macro_train_cv_std,f1_macro_valid_cv_mean,f1_macro_valid_cv_std,loss_train_mean (1-F1),loss_valid_mean (1-F1)
37,0.2751,0.1946,0.2371,0.1601,0.7249,0.7629
120,0.3674,0.0378,0.404,0.0428,0.6326,0.596
204,0.3847,0.0557,0.3572,0.0548,0.6153,0.6428
287,0.4116,0.06,0.4066,0.0646,0.5884,0.5934
371,0.7652,0.053,0.7054,0.086,0.2348,0.2946
