train_size,acc_train_cv_mean,acc_train_cv_std,acc_valid_cv_mean,acc_valid_cv_std
39,0.9949,0.0103,0.738,0.0589
89,0.982,0.0135,0.8192,0.0294
140,0.9857,0.0078,0.9004,0.0196
190,0.9863,0.0042,0.9249,0.0288
241,0.99,0.0056,0.9248,0.0188
291,0.9911,0.0035,0.935,0.0197
342,0.9924,0.0014,0.9594,0.0191
393,0.9913,0.0035,0.9574,0.0173
