train_size,f1_train_mean,f1_train_std,f1_valid_mean,f1_valid_std
39,0.9250022592100553,0.03515660201558677,0.3987677070610133,0.023456645550296907
89,0.7934554755369179,0.09730329039936123,0.5729312545158324,0.07004428424536194
140,0.7935684348049442,0.0341036421049062,0.6760994509882454,0.06505631637552618
190,0.8194376013617255,0.01615451353866042,0.6817392043474731,0.07302321917985105
241,0.7985787271474412,0.02523675363562927,0.6905455332980651,0.06552238481760375
291,0.8092035244635818,0.02381945228828503,0.6739423120506943,0.06971832042274978
342,0.8172183580069815,0.02113498511046023,0.6986801806227861,0.07670265123679326
393,0.8109566829279847,0.016016514955233402,0.712660658361029,0.07656203877016084
