Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Nada,0.32,0.755,0.449,53,,,,,
Varios días,0.6,0.307,0.406,176,,,,,
Más de la mitad de los días,0.354,0.287,0.317,101,,,,,
Casi todos los días,0.572,0.714,0.635,133,,,,,
GLOBAL,0.461,0.516,0.452,463,0.471,0.516,0.695,0.756,463.0
