Sintoma,Precision,Recall,F1,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Problemas de sueño,0.39,0.423,0.389,0.392,0.423,0.671,0.674,581
Cansancio,0.386,0.414,0.377,0.399,0.414,0.733,0.589,581
Cambios en el apetito,0.395,0.426,0.398,0.43,0.426,0.707,0.639,581
