Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,350,122,38,71,394,127,31,29,301,104,52,124
Varios días,300,67,160,54,221,72,174,114,288,69,161,63
Más de la mitad de los días,383,75,90,33,370,77,88,46,405,78,76,22
Casi todos los días,357,89,65,70,409,73,56,43,418,80,42,41
