Nivel,Problemas de sueño_f00,Problemas de sueño_f01,Problemas de sueño_f10,Problemas de sueño_f11,Cansancio_f00,Cansancio_f01,Cansancio_f10,Cansancio_f11,Cambios en el apetito_f00,Cambios en el apetito_f01,Cambios en el apetito_f10,Cambios en el apetito_f11
Nada,444,28,77,32,512,9,54,6,326,79,67,109
Varios días,158,209,64,150,127,166,43,245,199,158,87,137
Más de la mitad de los días,442,16,120,3,396,51,98,36,455,28,91,7
Casi todos los días,371,75,67,68,445,37,68,31,462,36,56,27
