Clase,Precision,Recall,F1,Soporte,Accuracy,BalancedAccuracy,AUC_OVR,Brier,n
Normal,0.85,0.944,0.895,54.0,,,,,
Elevado,0.48,0.462,0.471,26.0,,,,,
Alto,0.357,0.312,0.333,16.0,,,,,
Muy alto,0.8,0.5,0.615,8.0,,,,,
GLOBAL,0.622,0.555,0.579,,0.692,0.555,0.893,1.373,104.0
