Nivel,f00,f01,f10,f11,Accuracy,Recall,Precision,F1-score
Normal,41,9,3,51,0.885,0.944,0.85,0.895
Elevado,65,13,14,12,0.74,0.462,0.48,0.471
Alto,79,9,11,5,0.808,0.312,0.357,0.333
Muy alto,95,1,4,4,0.952,0.5,0.8,0.615
